vsearch v2.22.1_linux_x86_64, 503.7GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Wed Apr 16 12:49:55 2025

Read length distribution
      L           N      Pct   AccPct
    100         543     0.0%    99.4%
     99        1053     0.0%    99.4%
     98        1178     0.0%    99.4%
     97         999     0.0%    99.4%
     96         942     0.0%    99.4%
     95        1791     0.0%    99.4%
     94        1804     0.0%    99.4%
     93        1467     0.0%    99.4%
     92        1573     0.0%    99.4%
     91        1498     0.0%    99.4%
     90        1484     0.0%    99.4%
     89         561     0.0%    99.4%
     88         353     0.0%    99.4%
     87         345     0.0%    99.4%
     86         231     0.0%    99.4%
     85         272     0.0%    99.4%
     84         287     0.0%    99.4%
     83         335     0.0%    99.4%
     82         301     0.0%    99.4%
     81         440     0.0%    99.4%
     80       19386     0.0%    99.4%
     79       19930     0.0%    99.5%
     78       19322     0.0%    99.5%
     77       20503     0.0%    99.5%
     76       21391     0.0%    99.5%
     75       21483     0.0%    99.5%
     74        3563     0.0%    99.6%
     73         983     0.0%    99.6%
     72        1690     0.0%    99.6%
     71        1092     0.0%    99.6%
     70         774     0.0%    99.6%
     69         454     0.0%    99.6%
     68         620     0.0%    99.6%
     67         554     0.0%    99.6%
     66         554     0.0%    99.6%
     65         508     0.0%    99.6%
     64         540     0.0%    99.6%
     63         519     0.0%    99.6%
     62         418     0.0%    99.6%
     61         466     0.0%    99.6%
     60         417     0.0%    99.6%
     59         406     0.0%    99.6%
     58         485     0.0%    99.6%
     57         544     0.0%    99.6%
     56        1184     0.0%    99.6%
     55        1218     0.0%    99.6%
     54        1320     0.0%    99.6%
     53        1277     0.0%    99.6%
     52        1361     0.0%    99.6%
     51        1455     0.0%    99.6%
     50        1177     0.0%    99.6%
     49        1519     0.0%    99.6%
     48        1737     0.0%    99.6%
     47        1816     0.0%    99.6%
     46        2291     0.0%    99.6%
     45        2373     0.0%    99.6%
     44        2443     0.0%    99.6%
     43        2694     0.0%    99.6%
     42        3124     0.0%    99.6%
     41        3444     0.0%    99.6%
     40        4102     0.0%    99.6%
     39        5327     0.0%    99.6%
     38        6947     0.0%    99.6%
     37        7685     0.0%    99.6%
     36        9771     0.0%    99.6%
     35       11357     0.0%    99.6%
     34       19007     0.0%    99.7%
     33       26017     0.0%    99.7%
     32       60111     0.1%    99.7%
     31       60019     0.1%    99.8%
     30       55650     0.1%    99.9%
     29       55094     0.1%    99.9%
     28       48837     0.0%   100.0%
     27       39128     0.0%   100.0%
     26        5539     0.0%   100.0%
     25         754     0.0%   100.0%
     24        1597     0.0%   100.0%
     23         192     0.0%   100.0%
     22          54     0.0%   100.0%
     21          11     0.0%   100.0%
     20           4     0.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    J   41  0.00008  12704746805    28.2%    28.2%
    I   40  0.00010  30114695293    66.9%    95.1%
    =   28  0.00158    85997894     0.2%    95.3%
    9   24  0.00398  1501289232     3.3%    98.7%
    1   16  0.02512    12275538     0.0%    98.7%
    -   12  0.06310   554988299     1.2%    99.9%
    $    3  0.50119     7898451     0.0%   100.0%
    !    0  1.00000    21854457     0.0%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  39.0  0.00013  0.001260   0.00   0.000790    0.079%
    3   100.0%  39.0  0.00013  0.001207   0.00   0.000929    0.093%
    4   100.0%  39.1  0.00012  0.001104   0.00   0.000973    0.097%
    5   100.0%  39.0  0.00013  0.001222   0.01   0.001022    0.102%
    6   100.0%  38.7  0.00013  0.001690   0.01   0.001134    0.113%
    7   100.0%  38.2  0.00015  0.002381   0.01   0.001312    0.131%
    8   100.0%  39.5  0.00011  0.000609   0.01   0.001224    0.122%
    9   100.0%  39.4  0.00011  0.000638   0.01   0.001159    0.116%
   10   100.0%  39.6  0.00011  0.000430   0.01   0.001086    0.109%
   11   100.0%  39.7  0.00011  0.000348   0.01   0.001019    0.102%
   12   100.0%  39.4  0.00012  0.000665   0.01   0.000989    0.099%
   13   100.0%  39.3  0.00012  0.000651   0.01   0.000963    0.096%
   14   100.0%  39.4  0.00011  0.000683   0.01   0.000943    0.094%
   15   100.0%  39.4  0.00012  0.000591   0.01   0.000920    0.092%
   16   100.0%  39.3  0.00012  0.000845   0.01   0.000915    0.092%
   17   100.0%  39.5  0.00011  0.000660   0.02   0.000900    0.090%
   18   100.0%  39.8  0.00010  0.000342   0.02   0.000869    0.087%
   19   100.0%  39.7  0.00011  0.000510   0.02   0.000850    0.085%
