OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_23869	Fungi_1	Ascomycota_1	Dothideomycetes_1	Cladosporiales_1	Cladosporiaceae_1	Rachicladosporium_1	Rachicladosporium cboliae 		0	0
FOTU_23870	Fungi_1								0	0
FOTU_23871									0	0
FOTU_23872	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymosphaeriaceae_1	Neptunomyces_1			0	0
FOTU_23873									0	0
FOTU_23874	Fungi_1							Fungi-CHH22,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma	85.650	100
FOTU_23875									0	0
FOTU_23876	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1	Chaetomiaceae_1	Humicola_1		Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	85.437	100
FOTU_23877	Fungi_1								0	0
FOTU_23878	Rhizaria_1	Cercozoa_1							0	0
FOTU_23879	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Hypocreaceae_1	Trichoderma_1		Fungi-CHH22,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma	93.564	98
FOTU_23880	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Cantharellales_1	Ceratobasidiaceae_1	Ceratobasidium_1			0	0
FOTU_23881									0	0
FOTU_23882	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Hypocreaceae_1	Trichoderma_1		Fungi-ZANF80,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma	100.000	76
FOTU_23883									0	0
FOTU_23884	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Trechisporales_1	Hydnodontaceae_1	Trechispora_1	Trechispora praefocata 		0	0
FOTU_23885									0	0
FOTU_23886									0	0
FOTU_23887									0	0
FOTU_23888									0	0
FOTU_23889									0	0
FOTU_23890									0	0
FOTU_23891									0	0
FOTU_23892									0	0
FOTU_23893	Fungi_1								0	0
FOTU_23894									0	0
FOTU_23895	Fungi_1	Ascomycota_1	Sordariomycetes_1	Glomerellales_1	Glomerellaceae_1	Colletotrichum_1			0	0
FOTU_23896	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1	Podosporaceae_1	Triangularia_1		Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	80.676	100
FOTU_23897	Fungi_1							Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	81.731	100
FOTU_23898	Fungi_1	Basidiomycota_1							0	0
FOTU_23899	Fungi_1								0	0
FOTU_23900	Fungi_1							Fungi-CCHF65,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__,g__Sesquicillium	96.000	100
FOTU_23901	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Thelephorales_1	Thelephoraceae_1	Tomentella_1			0	0
FOTU_23902	Fungi_1								0	0
FOTU_23903									0	0
FOTU_23904	Fungi_1	Rozellomycota_1							0	0
FOTU_23905									0	0
FOTU_23906	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1	Mortierellaceae_1	Mortierella_1			0	0
FOTU_23907	Rhizaria_1	Cercozoa_1							0	0
FOTU_23908									0	0
FOTU_23909	Rhizaria_1	Cercozoa_1							0	0
FOTU_23910	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Agaricaceae_1	Lepiota_1			0	0
FOTU_23911									0	0
FOTU_23912									0	0
FOTU_23913									0	0
FOTU_23914									0	0
FOTU_23915									0	0
FOTU_23916									0	0
FOTU_23917	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1	Mortierellaceae_1	Mortierella_1		Fungi-OEO_O203,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,s__Linnemannia_elongata	95.455	99
FOTU_23918									0	0
